index,name,label,f_count,f_views,g_results,g_reviews,g_rating,t_reviews,t_rating,w_views_nl,w_views_en,w_edits,w_languages,geometry,g_url,t_url,w_url,n_f_count,n_f_views,n_g_results,n_g_reviews,n_g_rating,n_t_reviews,n_t_rating,n_w_views_nl,n_w_views_en,n_w_edits,n_w_languages
10,Amsterdam Museum,Museum,256,103613,147000000,5328,4.3,2207,4.0,53772,91050,277,11,POINT (4.8899741 52.3699874),"https://www.google.nl/maps/place/Amsterdam+Museum/@52.3699907,4.8877854,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c11bb7d84f:0x7741a77a95c86bf2!8m2!3d52.3699874!4d4.8899741",https://www.tripadvisor.nl/Attraction_Review-g188590-d190206-Reviews-Amsterdam_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwito9jbxb71AhULMewKHXyjAm4QFnoECAYQAg&usg=AOvVaw21t2si9i-822_qq0qkHREs,https://nl.wikipedia.org/wiki/Amsterdam_Museum,0.42524916943521596,0.27445116653599205,0.765625,0.08116259939676447,0.86,0.03452213358360707,0.8,0.10764044583947217,0.00970185108761427,0.18454363757495004,1.0
11,Amsterdam Pipe Museum,Museum,193,91316,16800000,342,4.4,335,4.5,3962,9440,80,3,POINT (4.8852857 52.3641198),"https://www.google.nl/maps/place/Amsterdam+Pipe+Museum/@52.3641231,4.883097,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609e9095e1bc7:0xbd5fb2f2e737113c!8m2!3d52.3641198!4d4.8852857",https://www.tripadvisor.nl/Attraction_Review-g188590-d3856538-Reviews-Amsterdam_Pipe_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjklLytx771AhUP2KQKHW62BQQQFnoECAkQAg&usg=AOvVaw27t8_3aY2gUQXtUr-QhoYU,https://nl.wikipedia.org/wiki/Amsterdam_Pipe_Museum,0.32059800664451826,0.24187874806636858,0.0875,0.005209761447765287,0.8800000000000001,0.0052401063663381825,0.9,0.007931106271219013,0.0010058811012309576,0.05329780146568954,0.2727272727272727
12,Amsterdam Tulip Museum,Museum,176,66487,2040000,915,4.1,776,3.5,2823,1949948,24,3,POINT (4.8841612 52.3762877),"https://www.google.nl/maps/place/Amsterdam+Tulip+Museum/@52.3763255,4.8819344,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c53ed78de3:0x24fa3c4e9991e0f6!8m2!3d52.3762877!4d4.8841612",https://www.tripadvisor.nl/Attraction_Review-g188590-d644813-Reviews-Amsterdam_Tulip_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjZ39yyx771AhWOM-wKHX6VDbEQFnoECAIQAg&usg=AOvVaw2e7RywDIF_PTX9bWdlsPCA,https://nl.wikipedia.org/wiki/Amsterdam_Tulip_Museum,0.292358803986711,0.17611144074081922,0.010625,0.013938396855863266,0.82,0.012138276239637103,0.7,0.005651063352764076,0.2077771018626169,0.015989340439706862,0.2727272727272727
13,Amsterdamse Bos,Park of recreatiegebied,0,0,1230000,14046,4.6,774,4.5,67699,58196,253,10,POINT (4.8331301 52.3185022),"https://www.google.nl/maps/place/Het+Amsterdamse+Bos/@52.3185055,4.8309414,17z/data=!3m1!4b1!4m5!3m4!1s0x47c5e1b1f2eb0961:0x8fb6f82a2bc45ab6!8m2!3d52.3185022!4d4.8331301",https://www.tripadvisor.com/Attraction_Review-g188590-d240808-Reviews-Amsterdamse_Bos-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiQh_fKx771AhVgg_0HHSPRDFQQFnoECAAQAg&usg=AOvVaw2rLVv8rxf3TgYyFkXjCLLw,https://nl.wikipedia.org/wiki/Amsterdamse_Bos,0.0,0.0,0.00640625,0.21396581665295678,0.9199999999999999,0.012106992022524637,0.9,0.135519425405163,0.006201086500766611,0.16855429713524317,0.9090909090909091
14,Amsterdamse Poort,Markt,3,2963,328000,6956,4.1,10,4.0,17723,11511,54,3,POINT (4.9527714 52.3140525),"https://www.google.nl/maps/place/Amsterdamse+Poort/@52.3140558,4.9505827,17z/data=!3m1!4b1!4m5!3m4!1s0x47c60bfb290cdb43:0xb44aef8ea97359b1!8m2!3d52.3140525!4d4.9527714",https://www.tripadvisor.nl/Attraction_Review-g188590-d11823592-Reviews-Amsterdamse_Poort-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiA-43px771AhV8if0HHSIiAvkQFnoECAMQAg&usg=AOvVaw1MpehMaSUWwfQ60NY3RGqd,https://nl.wikipedia.org/wiki/Amsterdamse_Poort_(Amsterdam),0.0049833887043189366,0.007848424487720116,0.0017083333333333334,0.10596228254577583,0.82,0.00015642108556233381,0.8,0.03547778809813593,0.001226556923333639,0.03597601598934044,0.2727272727272727
15,Anne Frank Huis,Monument of Gebouw,237,166154,4430000,51090,4.5,62466,4.5,177070,1121274,532,11,POINT (4.8839503 52.3752103),"https://www.google.nl/maps/place/Anne+Frank+Huis/@52.3752215,4.8817878,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c5213e1149:0xd49a5d653e635b0a!8m2!3d52.3752103!4d4.8839503",https://www.tripadvisor.nl/Attraction_Review-g188590-d190555-Reviews-Anne_Frank_House-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwil5O_cxb71AhVti_0HHTbVCdIQFnoECAAQAg&usg=AOvVaw0R8-irGOVqeagxG-NPPRby,https://nl.wikipedia.org/wiki/Anne_Frank_Huis,0.39368770764119604,0.44011040240723864,0.023072916666666665,0.7782652408372178,0.9,0.9770999530736744,0.9,0.35445759400422777,0.11947757689636025,0.35443037974683544,1.0
16,ARCAM,Museum,80,16798,214000,189,4.3,35,4.0,5389,42877,32,3,POINT (4.9126544 52.3714469),"https://www.google.nl/maps/place/ARCAM/@52.3714502,4.9104657,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609a47852ff85:0x87861be4619a0fd1!8m2!3d52.3714469!4d4.9126544",https://www.tripadvisor.nl/ShowUserReviews-g188590-d295149-r361724319-Architecture_Centre_of_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiTtYikx771AhUI_6QKHfA9AboQFnoECAQQAg&usg=AOvVaw10eIY97-Bbz7UWXWfrCaoz,https://nl.wikipedia.org/wiki/ARCAM,0.132890365448505,0.04449471297493166,0.0011145833333333333,0.0028790786948176585,0.86,0.0005474737994681684,0.8,0.010787665748510665,0.004568767370495739,0.021319120586275817,0.2727272727272727
17,Artis,Monument of Gebouw,54,47455,10900000,23502,4.5,7070,4.5,169659,1406932,771,11,POINT (4.9165321 52.3660003),"https://www.google.nl/maps/place/ARTIS/@52.3660036,4.9143434,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609a1dbac0061:0xe6853789b8a4a3d!8m2!3d52.3660003!4d4.9165321",https://www.tripadvisor.nl/Attraction_Review-g188590-d244497-Reviews-ARTIS_Amsterdam_Royal_Zoo-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj2o6Lexb71AhWPhf0HHQ4NBHUQFnoECAYQAg&usg=AOvVaw0XqVmNKDo03Cgp6t48Un2F,https://nl.wikipedia.org/wiki/Artis,0.08970099667774087,0.12569928588078236,0.05677083333333333,0.3580111507174847,0.9,0.11058970749257,0.9,0.3396223015822177,0.14991592261833409,0.513657561625583,1.0
18,Auschwitzmonument,Herdenkings Monument,46,23374,9100,458,4.4,37,4.0,39822,0,93,1,POINT (4.9092116 52.3679582),"https://www.google.nl/maps/place/Auschwitzmonument/@52.3679615,4.9070229,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609a2c70445df:0x4e7cdbf133805e05!8m2!3d52.3679582!4d4.9092116",https://www.tripadvisor.nl/Attraction_Review-g188590-d8619177-Reviews-Auschwitz_Monument-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiu9PSex771AhXZuKQKHSMaAn8QFnoECAcQAg&usg=AOvVaw1Caibxuh4chpyjZfn_Nb7R,https://nl.wikipedia.org/wiki/Auschwitzmonument_(Amsterdam),0.07641196013289037,0.061913288550782986,4.739583333333333e-05,0.0069768150382353835,0.8800000000000001,0.000578758016580635,0.8,0.07971542502081866,0.0,0.061958694203864094,0.09090909090909091
19,Basiliek van de Heilige Nicolaas,Monument of Gebouw,326,236132,46500,1929,4.6,493,4.5,48705,14751,170,11,POINT (4.9008364 52.3765922),"https://www.google.nl/maps/place/Basiliek+van+de+Heilige+Nicolaas/@52.3765569,4.8986839,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609b9db6114a7:0x14edea05eb3a0557!8m2!3d52.3765922!4d4.9008364",https://www.tripadvisor.nl/Attraction_Review-g188590-d267062-Reviews-St_Nicholas_Basilica-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjUyfDfxb71AhV_iv0HHX8BDJsQFnoECAoQAg&usg=AOvVaw2JaonCAoT432R2MrdPl2ki,https://nl.wikipedia.org/wiki/Basiliek_van_de_Heilige_Nicolaas_(Amsterdam),0.5415282392026578,0.6254688393973428,0.0002421875,0.029384882551869117,0.9199999999999999,0.007711559518223056,0.9,0.09749735763243866,0.0015717957758747728,0.11325782811459027,1.0
20,Beatrixpark,Park of recreatiegebied,2,120,92400,2070,4.6,43,4.5,12254,9384807,96,4,POINT (4.8804617 52.342989),"https://www.google.nl/maps/place/Beatrixpark/@52.3429923,4.878273,17z/data=!3m1!4b1!4m5!3m4!1s0x47c60a1c4e487d65:0xea63bdec633c4f08!8m2!3d52.342989!4d4.8804617",https://www.tripadvisor.nl/Attraction_Review-g188590-d10250389-Reviews-Beatrixpark-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwipzZzUx771AhUf7rsIHQoVAUgQFnoECAoQAg&usg=AOvVaw2NvxQxqhrkNkHfSRVAi2wN,https://nl.wikipedia.org/wiki/Beatrixpark_(Amsterdam),0.0033222591362126247,0.000317857218537433,0.00048125,0.03153276665752673,0.9199999999999999,0.0006726106679180354,0.9,0.02452997886105951,1.0,0.06395736175882745,0.36363636363636365
21,Begijnhof ,Monument of Gebouw,257,107349,550000,6378,4.5,4571,4.5,65115,159759,128,7,POINT (4.8901135 52.3695609),"https://www.google.nl/maps/place/Begijnhof/@52.3695642,4.8879248,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c10ab92779:0xdb03cc5fdb4c1975!8m2!3d52.3695609!4d4.8901135",https://www.tripadvisor.nl/Attraction_Review-g188590-d244498-Reviews-Begijnhof-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjGovTgxb71AhVIg_0HHRmhARIQFnoECAQQAg&usg=AOvVaw3QWX9xK91gT2yUaay3vex1,https://nl.wikipedia.org/wiki/Begijnhof_(Amsterdam),0.4269102990033223,0.2843471212731241,0.002864583333333333,0.09715748103464035,0.9,0.07150007821054279,0.9,0.13034679072448915,0.017023152420715736,0.08527648234510327,0.6363636363636364
22,Berlagebrug,Monument of Gebouw,10,2281,23100,0,0.0,3,3.0,16050,300,115,3,POINT (4.9127126 52.3472755),"https://www.google.nl/maps/place/Berlagebrug,+1097+AH+Amsterdam/@52.3472788,4.9105239,17z/data=!4m5!3m4!1s0x47c609811ffd9973:0x3ed8f31658b5e95e!8m2!3d52.3472755!4d4.9127126",https://www.tripadvisor.nl/Attraction_Review-g188590-d19112098-Reviews-Berlagebrug-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwi73NKSx771AhXFDuwKHdMLA7QQFnoECAAQAg&usg=AOvVaw1twrz0OWOdF8GDqEpNsWzW,https://nl.wikipedia.org/wiki/Berlagebrug_(Amsterdam),0.016611295681063124,0.006041935962365705,0.0001203125,0.0,0.0,4.692632566870014e-05,0.6,0.03212878739350458,3.196656042047535e-05,0.07661558960692871,0.2727272727272727
23,Beurs van Berlage,Monument of Gebouw,327,127205,270000,3035,4.4,19,4.0,97893,84574,420,10,POINT (4.8961713 52.3750622),"https://www.google.nl/maps/place/Beurs+van+Berlage/@52.3750655,4.8939826,17z/data=!3m2!4b1!5s0x47c609b87922c6db:0xf3a9f258585626b!4m5!3m4!1s0x47c609c787f17ca7:0xfdc6eede688a772f!8m2!3d52.3750622!4d4.8961713",https://www.tripadvisor.nl/Attraction_Review-g188590-d12246643-Reviews-The_Tower_Beurs_van_Berlage-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiwzffdxr71AhURt6QKHdcuDQkQFnoECAIQAg&usg=AOvVaw3jKQAUVOdpQGYkhXUKFy_L,https://nl.wikipedia.org/wiki/Beurs_van_Berlage,0.5431893687707641,0.33694189570045135,0.00140625,0.046232824543765046,0.8800000000000001,0.0002972000625684342,0.8,0.19596158157709306,0.009011799603337606,0.2798134576948701,0.9090909090909091
24,Bijbels Museum,Museum,99,61074,124000,17,4.3,3,3.5,11725,17952,81,10,POINT (4.9038417 52.3660404),"https://www.google.nl/maps/place/Bijbels+Museum/@52.3660437,4.901653,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609c2419d0b09:0x95724d1dfcdcaaf!8m2!3d52.3660404!4d4.9038417",https://www.tripadvisor.nl/Attraction_Review-g188590-d17396119-Reviews-Bijbels_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiij4_ixb71AhUhgv0HHVh5BScQFnoECAQQAg&usg=AOvVaw0nWoC1zb4yYR_-2q2BWwq3,https://nl.wikipedia.org/wiki/Bijbels_Museum,0.1644518272425249,0.16177343137462652,0.0006458333333333333,0.00025896475032751424,0.86,4.692632566870014e-05,0.7,0.023471030042918454,0.0019128789755612449,0.05396402398401066,0.9090909090909091
25,Bimhuis,Concertzaal of Theater,47,12237,165000,603,4.6,92,4.5,17905,33644,96,5,POINT (4.9128481 52.3780986),"https://www.google.nl/maps/place/Bimhuis/@52.3779687,4.9105974,17z/data=!3m1!4b1!4m5!3m4!1s0x47c609afa170283f:0x34801f6fc5a26785!8m2!3d52.3780986!4d4.9128481",https://www.tripadvisor.nl/Attraction_Review-g188590-d245173-Reviews-Bimhuis-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiBoYvjxb71AhUXgf0HHUefBrMQFnoECAYQAg&usg=AOvVaw0Rqf5Z5JQadlv997vz5KG4,https://nl.wikipedia.org/wiki/Bimhuis,0.07807308970099668,0.03241348986035473,0.000859375,0.009185632026323005,0.9199999999999999,0.001439073987173471,0.9,0.03584211453462302,0.0035849431959549087,0.06395736175882745,0.45454545454545453
