name,label,wiki_page_obj,wiki_url,wiki_nl_views,wiki_norm_nl_views,wiki_eng_views,wiki_norm_eng_views,wiki_nr_of_edits,wiki_norm_nr_of_edits,wiki_nr_of_languages,wiki_norm_nr_of_languages,TA_name,TA_rating,TA_reviews,TA_url,wiki_coordinates
Markenplein,Monument of Gebouw,<WikipediaPage 'Markenplein'>,https://nl.wikipedia.org/wiki/Markenplein,3287.0,0.006534155174174,4369.0,0.0004655396749235,33,0.0213333333333333,6,0.5,,,,,"(52.36868333, 4.90510556)"
Melkweg ,Concertzaal of Theater,<WikipediaPage 'Melkweg (Amsterdam)'>,https://nl.wikipedia.org/wiki/Melkweg_(Amsterdam),55486.0,0.1110305908165491,114035.0,0.0121510223918296,143,0.0946666666666666,10,0.9,Melkweg,4.5,308.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245244-Reviews-Melkweg-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjmj5GFxr71AhWCh_0HHdjpDcYQFnoECAIQAg&usg=AOvVaw3kT7uBQQQQaxTzCdfp6Oie,"(52.36477778, 4.88133611)"
Millennium Tower ,Monument of Gebouw,<WikipediaPage 'Millennium Tower (Amsterdam)'>,https://nl.wikipedia.org/wiki/Millennium_Tower_(Amsterdam),11230.0,0.0224351338961301,0.0,0.0,61,0.04,4,0.3,,,,,"(52.39333333, 4.83722222)"
Montelbaanstoren,Monument of Gebouw,<WikipediaPage 'Montelbaanstoren'>,https://nl.wikipedia.org/wiki/Montelbaanstoren,26973.0,0.0539508216740169,21425.0,0.0022829451900289,85,0.056,11,1.0,Montelbaanstoren,4.0,104.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d531469-Reviews-Montelbaanstoren-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj_sMCGxr71AhV7hP0HHWqgDiYQFnoECAIQAg&usg=AOvVaw2NWeB7erEqE59Zd6HnzgPa,"(52.37194444, 4.90555556)"
Muntplein ,Monument of Gebouw,<WikipediaPage 'Muntplein (Amsterdam)'>,https://nl.wikipedia.org/wiki/Muntplein_(Amsterdam),15661.0,0.0313054897713646,27131.0,0.0028909491692263,56,0.0366666666666666,11,1.0,,,,,"(52.36694444, 4.89333333)"
Munttoren ,Monument of Gebouw,<WikipediaPage 'Munttoren (Amsterdam)'>,https://nl.wikipedia.org/wiki/Munttoren_(Amsterdam),36401.0,0.072824600773929,41227.0,0.0043929512881831,163,0.108,11,1.0,Munt Tower (Munttoren),4.0,245.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d266831-Reviews-Munt_Tower_Munttoren-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjl1caHxr71AhURiv0HHZavD1YQFnoECAMQAg&usg=AOvVaw2sF1uaFncrl1ce3-H-6mVc,"(52.36694444, 4.89333333)"
Museum Ons' Lieve Heer op Solder,Monument of Gebouw,<WikipediaPage 'Museum Ons' Lieve Heer op Solder'>,https://nl.wikipedia.org/wiki/Museum_Ons%27_Lieve_Heer_op_Solder,53325.0,0.1067045156537458,49264.0,0.0052493354418476,115,0.076,11,1.0,Museum Ons'Lieve Heer Op Solder,4.5,3376.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190585-Reviews-Museum_Ons_Lieve_Heer_Op_Solder-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiaq5CJxr71AhV457sIHS7DCxcQFnoECAsQAg&usg=AOvVaw1pJDkPeoWQEGBS3mSyHcDi,"(52.37510278, 4.89933056)"
Museum Van Loon,Museum,<WikipediaPage 'Museum Van Loon'>,https://nl.wikipedia.org/wiki/Museum_Van_Loon,36700.0,0.073423164621073,43695.0,0.0046559295252422,87,0.0573333333333333,9,0.8,Museum Van Loon,4.0,950.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244452-Reviews-Museum_Van_Loon-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiV1rqKxr71AhXSh_0HHT3nC9sQFnoECAsQAg&usg=AOvVaw2G20MlX4cBcXAuKFdRyw3B,"(52.36333333, 4.89277778)"
Museumplein,Monument of Gebouw,<WikipediaPage 'Museumplein'>,https://nl.wikipedia.org/wiki/Museumplein,54578.0,0.1092128785315767,118474.0,0.0126240209308513,224,0.1486666666666666,11,1.0,Museum Quarter,4.5,4704.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d1174891-r272950048-Museum_Quarter-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiHk8SLxr71AhUVhP0HHcBkBtwQFnoECAkQAg&usg=AOvVaw0W6PyNKMUnNcVuJ80hu7WJ,"(52.35761111, 4.88161944)"
Muziekgebouw aan 't IJ,Monument of Gebouw,<WikipediaPage 'Muziekgebouw aan 't IJ'>,https://nl.wikipedia.org/wiki/Muziekgebouw_aan_%27t_IJ,37433.0,0.0748905468951752,36887.0,0.0039305017141002,94,0.062,11,1.0,Muziekgebouw aan 't IJ,4.5,59.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d546039-Reviews-Muziekgebouw_aan_t_IJ-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj0t7yMxr71AhVs8LsIHZocAj0QFnoECAAQAg&usg=AOvVaw1sEdJcJ9uyiCMEREQ3ZpiE,"(52.37833333, 4.91305556)"
NEMO Science Museum,Museum,<WikipediaPage 'NEMO Science Museum'>,https://nl.wikipedia.org/wiki/NEMO_Science_Museum,34425.0,0.0688688744797599,134487.0,0.0143302893708948,212,0.1406666666666666,11,1.0,NEMO Science Museum,4.0,4354.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d194315-Reviews-NEMO_Science_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjc98mNxr71AhUMhf0HHS1QBTQQFnoECAgQAg&usg=AOvVaw1ufniIuQbw52qSbO4cGvVu,"(52.37410556, 4.91239167)"
Nieuwe Kerk ,Monument of Gebouw,<WikipediaPage 'Nieuwe Kerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Nieuwe_Kerk_(Amsterdam),97940.0,0.1960186495678929,29847.0,0.003180353096233,266,0.1766666666666666,11,1.0,Nieuwe Kerk,3.5,746.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d8869177-Reviews-Nieuwe_Kerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj_peSOxr71AhUBgf0HHXr_DE8QFnoECAcQAg&usg=AOvVaw3mYWOPLzjp-VSbFE5a4KJK,"(52.37388889, 4.89194444)"
Noorderkerk ,Monument of Gebouw,<WikipediaPage 'Noorderkerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Noorderkerk_(Amsterdam),20121.0,0.0402339003341147,17004.0,0.0018118646446325,84,0.0553333333333333,11,1.0,Noorderkerk,3.5,51.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244479-Reviews-Noorderkerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwimwrCQxr71AhUF57sIHR6gDzgQFnoECAQQAg&usg=AOvVaw0IXYbBxqa-j0k4jlTTHRhY,"(52.37944444, 4.88638889)"
Noordermarkt,Markt,<WikipediaPage 'Noordermarkt'>,https://nl.wikipedia.org/wiki/Noordermarkt,18146.0,0.036280175925722,25029.0,0.0026669701358802,61,0.04,11,1.0,Noordermarkt,4.0,312.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d622400-Reviews-Noordermarkt-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjWsKiRxr71AhUggP0HHS1rCfEQFnoECAEQAg&usg=AOvVaw2sK-6-aoW3tfv1hOlvROOm,"(52.37916667, 4.88611111)"
Olympisch Stadion ,Monument of Gebouw,<WikipediaPage 'Olympisch Stadion (Amsterdam)'>,https://nl.wikipedia.org/wiki/Olympisch_Stadion_(Amsterdam),119368.0,0.2389150579846215,215010.0,0.0229104338533546,435,0.2893333333333333,11,1.0,Oympisch Stadion,4.0,129.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d2257328-Reviews-Olympic_Stadium_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj1kKmSxr71AhX78LsIHdFpC48QFnoECAoQAg&usg=AOvVaw23SpCJcfXr_nmP4J6MxMfK,"(52.34341944, 4.85419167)"
Oost-Indisch Huis ,Monument of Gebouw,<WikipediaPage 'Oost-Indisch Huis (Amsterdam)'>,https://nl.wikipedia.org/wiki/Oost-Indisch_Huis_(Amsterdam),37870.0,0.0757653709794626,60361.0,0.006431778511801,86,0.0566666666666666,7,0.6,Oostindisch Huis,4.0,26.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d267039-Reviews-Oostindisch_Huis-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwizp9WTxr71AhWc_bsIHYDxBfQQFnoECAYQAg&usg=AOvVaw2JA4E3m79dcCZSEjeRYI1k,"(52.37083333, 4.89805556)"
Oosterkerk ,Monument of Gebouw,<WikipediaPage 'Oosterkerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Oosterkerk_(Amsterdam),13565.0,0.0271095371840273,7367.0,0.0007849921687254,92,0.0606666666666666,8,0.7,Oosterkerk,3.5,6.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d8396023-Reviews-Oosterkerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwi6vuyUxr71AhXNiv0HHWX9C54QFnoECAAQAg&usg=AOvVaw3H6ME3T8Y_bi203N5dRvfV,"(52.36972222, 4.91916667)"
Openbare Bibliotheek Amsterdam,Monument of Gebouw,<WikipediaPage 'Openbare Bibliotheek Amsterdam'>,https://nl.wikipedia.org/wiki/Openbare_Bibliotheek_Amsterdam,27281.0,0.0545674024931485,48914.0,0.0052120411213571,172,0.114,5,0.4,OBA-Bibliotheek Van Amsterdam,4.5,3041.0,https://www.tripadvisor.nl/ShowUserReviews-g188590-d1499038-r347074246-OBA_Library_of_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj8v_uVxr71AhWr8LsIHdBqCaEQFnoECAUQAg&usg=AOvVaw06pZvsgcElBsKIyiqtKk1c,
Oude Kerk ,Monument of Gebouw,<WikipediaPage 'Oude Kerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Oude_Kerk_(Amsterdam),96923.0,0.1939827317332927,138585.0,0.0147669525862385,253,0.168,11,1.0,Oude Kerk,3.5,1101.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d1597473-Reviews-Oude_Kerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj_0e2Wxr71AhWT8LsIHSXGB_AQFnoECAwQAg&usg=AOvVaw0EELdioSYCF8MEQMY9i96C,"(52.37416667, 4.89805556)"
Oudeschans ,Monument of Gebouw,<WikipediaPage 'Oudeschans (Amsterdam)'>,https://nl.wikipedia.org/wiki/Oudeschans_(Amsterdam),18853.0,0.0376955091696378,707.0,7.533452739092024e-05,120,0.0793333333333333,4,0.3,,,,,"(52.37138889, 4.90472222)"
Pakhuis de Zwijger,Monument of Gebouw,<WikipediaPage 'Pakhuis de Zwijger'>,https://nl.wikipedia.org/wiki/Pakhuis_de_Zwijger,27025.0,0.0540549197343897,,,49,0.032,1,0.0,Pakhuis de Zwijger,3.5,42.0,https://www.tripadvisor.nl/Restaurant_Review-g188590-d2560231-Reviews-Pakhuis_de_Zwijger-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiWnbaYxr71AhX2h_0HHe-3CFoQFnoECAoQAg&usg=AOvVaw2XdY0gZZVqCN0UZ9qwsRdH,"(52.37666667, 4.92194444)"
Paleis op de Dam,Monument of Gebouw,<WikipediaPage 'Paleis op de Dam'>,https://nl.wikipedia.org/wiki/Paleis_op_de_Dam,248741.0,0.4979050265349959,310796.0,0.0331169303748068,681,0.4533333333333333,11,1.0,Royal Palace Amsterdam,4.0,3345.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244447-Reviews-Royal_Palace_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiI2--Zxr71AhXZhP0HHakqDTgQFnoECAQQAg&usg=AOvVaw1ha7R7E8jVtUnQ3FL3duZ7,"(52.37305556, 4.89138889)"
Paradiso ,Concertzaal of Theater,<WikipediaPage 'Paradiso (Amsterdam)'>,https://nl.wikipedia.org/wiki/Paradiso_(Amsterdam),111862.0,0.2238889033469528,167558.0,0.0178541764364466,245,0.1626666666666666,10,0.9,Paradiso,4.5,462.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245259-Reviews-Paradiso-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjTxIybxr71AhVo_rsIHaChBW8QFnoECAUQAg&usg=AOvVaw0HECDcF-OcBckHZZWxe7eE,"(52.36214444, 4.88387222)"
Posthoornkerk,Monument of Gebouw,<WikipediaPage 'Posthoornkerk'>,https://nl.wikipedia.org/wiki/Posthoornkerk,16953.0,0.0338919261944751,13104.0,0.0013962993591663,35,0.0226666666666666,1,0.0,"Amsterdam, Posthoornkerk (Onze Lieve Vrouwe Onbevlekt Ontvangen)",3.5,7.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d12131399-Reviews-Amsterdam_Posthoornkerk_Onze_Lieve_Vrouwe_Onbevlekt_Ontvangen-Amsterdam_North_Ho.html&sa=U&ved=2ahUKEwiXtaucxr71AhUBh_0HHazjACUQFnoECAEQAg&usg=AOvVaw0wmlePW1JmV4epqlZAvmYs,"(52.38111111, 4.89027778)"
Pythonbrug,Monument of Gebouw,<WikipediaPage 'Pythonbrug'>,https://nl.wikipedia.org/wiki/Pythonbrug,15201.0,0.0303846223142199,34613.0,0.003688195186113,54,0.0353333333333333,5,0.4,Pythonbrug / Hoge Brug,4.0,71.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d6495556-Reviews-Python_Bridge_High_Bridge-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiW-rqdxr71AhVh8rsIHTTiAHEQFnoECAMQAg&usg=AOvVaw2LWjgBDy5LZ46fC9qjZ0ho,"(52.37298056, 4.94891111)"
Rembrandthuis,Monument of Gebouw,<WikipediaPage 'Rembrandthuis'>,https://nl.wikipedia.org/wiki/Rembrandthuis,44484.0,0.0890058435045813,129744.0,0.0138248980506471,132,0.0873333333333333,11,1.0,Museum het Rembrandthuis,4.5,6813.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d198999-Reviews-Museum_Het_Rembrandthuis_Rembrandt_House-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiglsaexr71AhUgi_0HHfxeDmoQFnoECAIQAg&usg=AOvVaw1MeAanDXIAHyes2xbem63N,"(52.36944444, 4.90138889)"
Rembrandtplein ,Monument of Gebouw,<WikipediaPage 'Rembrandtplein (Amsterdam)'>,https://nl.wikipedia.org/wiki/Rembrandtplein_(Amsterdam),52276.0,0.1046045374743007,104845.0,0.0111717800909491,159,0.1053333333333333,11,1.0,Rembrandtplein,4.0,2188.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d259562-Reviews-Rembrandtplein-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiCqc-fxr71AhUn8LsIHen2BVIQFnoECAoQAg&usg=AOvVaw0rhFvsUpHe-mNbS3E5UiOK,"(52.36601944, 4.89664167)"
Rembrandttoren,Monument of Gebouw,<WikipediaPage 'Rembrandttoren'>,https://nl.wikipedia.org/wiki/Rembrandttoren,60104.0,0.1202752993319707,50659.0,0.0053979799478028,111,0.0733333333333333,9,0.8,Rembrandt Tower,3.0,1.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d17548025-Reviews-Rembrandt_Tower-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjYgdOgxr71AhVd_rsIHSx4Cx8QFnoECAMQAg&usg=AOvVaw3A2UeSPjFhDy5bBUxAJyCZ,"(52.34508333, 4.91701111)"
Rijksmuseum Amsterdam,Monument of Gebouw,<WikipediaPage 'Rijksmuseum Amsterdam'>,https://nl.wikipedia.org/wiki/Rijksmuseum_Amsterdam,389550.0,0.7797885608242965,906581.0,0.0966009210418498,1035,0.6893333333333334,11,1.0,Rijksmuseum,4.5,46760.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d189379-Reviews-Rijksmuseum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiqgtKhxr71AhUlhP0HHVIMBK4QFnoECAYQAg&usg=AOvVaw1_cjuOo942dvuLyAI0y1hj,"(52.35996944, 4.885325)"
Ronde Lutherse Kerk,Monument of Gebouw,<WikipediaPage 'Ronde Lutherse Kerk'>,https://nl.wikipedia.org/wiki/Ronde_Lutherse_Kerk,18878.0,0.0377455563140478,12504.0,0.0013323662383254,51,0.0333333333333333,6,0.5,Ronde Lutherse Kerk,3.5,2.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d20133372-Reviews-Ronde_Lutherse_Kerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjL1fOixr71AhUfg_0HHbL7CTgQFnoECAMQAg&usg=AOvVaw2SXYHGQPrrUz6uTzqPHdCd,"(52.37777778, 4.89361111)"
Skydome ,Monument of Gebouw,<WikipediaPage 'Skydome (Amsterdam)'>,https://nl.wikipedia.org/wiki/Skydome_(Amsterdam),230.0,0.000414390355715,65389.0,0.0069675380644482,2,0.0006666666666666,1,0.0,,,,,"(52.37740556, 4.94158611)"
Spoorwegbassin,Monument of Gebouw,<WikipediaPage 'Spoorwegbassin'>,https://nl.wikipedia.org/wiki/Spoorwegbassin,3665.0,0.0072908679976537,34199.0,0.0036440813327327,29,0.0186666666666666,1,0.0,,,,,"(52.37244222, 4.945135)"
Stadhuis van Amsterdam,Monument of Gebouw,<WikipediaPage 'Stadhuis van Amsterdam'>,https://nl.wikipedia.org/wiki/Stadhuis_van_Amsterdam,43733.0,0.0875024272865038,310796.0,0.0331169303748068,55,0.036,1,0.0,Royal Palace Amsterdam,4.0,3345.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d244447-Reviews-Royal_Palace_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwj_w6Skxr71AhWsgf0HHXjtC74QFnoECAUQAg&usg=AOvVaw1dlaOgEDWFfU4z-ccaKK7I,
Stadsschouwburg Amsterdam,Monument of Gebouw,<WikipediaPage 'Stadsschouwburg Amsterdam'>,https://nl.wikipedia.org/wiki/Stadsschouwburg_Amsterdam,52451.0,0.104954867485171,21384.0,0.0022785764267714,208,0.138,9,0.8,De Stadsschouwburg,4.5,64.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245202-Reviews-De_Stadsschouwburg-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjy7Melxr71AhXd7rsIHaKnBMYQFnoECAcQAg&usg=AOvVaw1DFisjZiGbseZdY5c3ehLA,"(52.36388889, 4.88194444)"
Station Amsterdam Amstel,Monument of Gebouw,<WikipediaPage 'Station Amsterdam Amstel'>,https://nl.wikipedia.org/wiki/Station_Amsterdam_Amstel,45576.0,0.0911919027724116,22589.0,0.0024069754444603,320,0.2126666666666666,11,1.0,,,,,"(52.34638889, 4.91777778)"
Station Amsterdam Centraal,Monument of Gebouw,<WikipediaPage 'Station Amsterdam Centraal'>,https://nl.wikipedia.org/wiki/Station_Amsterdam_Centraal,182929.0,0.366156919818469,183210.0,0.0195219784487842,999,0.6653333333333333,11,1.0,Centraal Station,4.5,17480.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190573-Reviews-Centraal_Station-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjrqImnxr71AhUPgv0HHTqADlcQFnoECAQQAg&usg=AOvVaw0MTqJUhOjBNkiI_kL1qTjZ,"(52.37888889, 4.90055556)"
Stedelijk Museum Amsterdam,Museum,<WikipediaPage 'Stedelijk Museum Amsterdam'>,https://nl.wikipedia.org/wiki/Stedelijk_Museum_Amsterdam,90054.0,0.1802317783351917,190598.0,0.0203092082767392,481,0.32,11,1.0,Stedelijk Museum Amsterdam,4.0,2949.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190676-Reviews-Stedelijk_Museum_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwikiqmoxr71AhW2hP0HHfbmCNUQFnoECAEQAg&usg=AOvVaw0klW3uWS3qR1S1n3tYlyhs,"(52.35777778, 4.87972222)"
Stopera,Monument of Gebouw,<WikipediaPage 'Stopera'>,https://nl.wikipedia.org/wiki/Stopera,72530.0,0.1451507319895341,0.0,0.0,166,0.11,10,0.9,Nationale Opera & Ballet,4.5,1366.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245251-Reviews-Dutch_National_Opera_Ballet-Amsterdam_North_Holland_Province.html,"(52.36726709, 4.90153313)"
Theater Amsterdam,Monument of Gebouw,<WikipediaPage 'Theater Amsterdam'>,https://nl.wikipedia.org/wiki/Theater_Amsterdam,9363.0,0.0186976131515887,224693.0,0.0239422078685262,7,0.004,1,0.0,Theater Amsterdam,4.5,149.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d6686044-Reviews-Theater_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiz9Iqrxr71AhWJgv0HHV2lANcQFnoECAEQAg&usg=AOvVaw2VBl2xWvSlUpyNkzIMsPwP,"(52.39708056, 4.87789444)"
Theater Bellevue,Concertzaal of Theater,<WikipediaPage 'Theater Bellevue'>,https://nl.wikipedia.org/wiki/Theater_Bellevue,11797.0,0.0235702031313497,0.0,0.0,64,0.042,1,0.0,Bellevue Theater,4.5,15.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d245170-Reviews-Bellevue_Theater-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjx5qasxr71AhWd57sIHeZEC8gQFnoECAUQAg&usg=AOvVaw1S4m1vef_d1tB-1Nz0vspk,"(52.36415833, 4.88027222)"
Tropenmuseum,Museum,<WikipediaPage 'Tropenmuseum'>,https://nl.wikipedia.org/wiki/Tropenmuseum,70790.0,0.1416674507385957,122105.0,0.0130109228671404,310,0.206,11,1.0,Tropenmuseum,4.5,1134.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d240820-Reviews-Tropenmuseum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjFt8Ktxr71AhXF_7sIHfULB8sQFnoECAAQAg&usg=AOvVaw3AIEq5WH51oiweZyK9cj2l,"(52.3625, 4.92111111)"
Uitmarkt,Markt,<WikipediaPage 'Uitmarkt'>,https://nl.wikipedia.org/wiki/Uitmarkt,14018.0,0.0280163914407371,16726.0,0.0017822422986429,92,0.0606666666666666,3,0.2,Uitmarkt,4.5,8.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d10020574-Reviews-Uitmarkt-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwix7eyuxr71AhWBgv0HHedpA4gQFnoECAMQAg&usg=AOvVaw2hcK1Y6P8N66f_5N4pdnvL,
VOC-Kamer Amsterdam,Monument of Gebouw,<WikipediaPage 'VOC-Kamer Amsterdam'>,https://nl.wikipedia.org/wiki/VOC-Kamer_Amsterdam,15062.0,0.0301063601913002,0.0,0.0,57,0.0373333333333333,1,0.0,,,,,
Van Gogh Museum,Museum,<WikipediaPage 'Van Gogh Museum'>,https://nl.wikipedia.org/wiki/Van_Gogh_Museum,110539.0,0.2212404084647738,699953.0,0.0745836328866432,382,0.254,11,1.0,Van Gogh Museum,4.5,63930.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190554-Reviews-Van_Gogh_Museum-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwi-ioawxr71AhVEhP0HHS-bA2IQFnoECAIQAg&usg=AOvVaw0RPU7zvxMwvgZiOyf-qD_t,"(52.35846111, 4.88127778)"
Verzetsmuseum Amsterdam,Museum,<WikipediaPage 'Verzetsmuseum Amsterdam'>,https://nl.wikipedia.org/wiki/Verzetsmuseum_Amsterdam,17624.0,0.0352351915504405,45735.0,0.0048733021361014,43,0.028,9,0.8,Verzetsmuseum Amsterdam,4.5,3416.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d266245-Reviews-Verzetsmuseum_Amsterdam-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiW-aKxxr71AhUFSuUKHWPoAWcQFnoECAMQAg&usg=AOvVaw3U0S6fvNnD8jhPybdK1Ppm,"(52.3677, 4.91273611)"
Vlooienburg,Monument of Gebouw,<WikipediaPage 'Vlooienburg'>,https://nl.wikipedia.org/wiki/Vlooienburg,14570.0,0.0291214323893107,51418.0,0.0054788553456666,51,0.0333333333333333,1,0.0,,,,,"(52.36778333, 4.90086667)"
Waag ,Monument of Gebouw,<WikipediaPage 'Waag (Amsterdam)'>,https://nl.wikipedia.org/wiki/Waag_(Amsterdam),73877.0,0.1478472721303468,79139.0,0.0084326720837199,208,0.138,10,0.9,,,,,"(52.37277778, 4.90027778)"
Waterlooplein ,Markt,<WikipediaPage 'Waterlooplein (Amsterdam)'>,https://nl.wikipedia.org/wiki/Waterlooplein_(Amsterdam),38441.0,0.0769084477577878,39683.0,0.004228430057219,175,0.116,11,1.0,,,,,"(52.36833333, 4.90166667)"
Westerkerk ,Monument of Gebouw,<WikipediaPage 'Westerkerk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Westerkerk_(Amsterdam),60655.0,0.1213783383947678,132978.0,0.0141694975719799,231,0.1533333333333333,11,1.0,Westerkerk,4.0,707.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d190581-Reviews-Westerkerk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwi2uryzxr71AhUhh_0HHc0kAWwQFnoECAEQAg&usg=AOvVaw1agNp9cRvvqMpyTSy8gRLi,"(52.374525, 4.88399722)"
Westermarkt ,Monument of Gebouw,<WikipediaPage 'Westermarkt (Amsterdam)'>,https://nl.wikipedia.org/wiki/Westermarkt_(Amsterdam),14415.0,0.0288111400939685,0.0,0.0,37,0.024,2,0.1,,,,,"(52.37472222, 4.88416667)"
Westpoort ,Monument of Gebouw,<WikipediaPage 'Westpoort (Amsterdam)'>,https://nl.wikipedia.org/wiki/Westpoort_(Amsterdam),34756.0,0.0695314986717487,29355.0,0.0031279279371435,128,0.0846666666666666,11,1.0,,,,,"(52.40583333, 4.82111111)"
Zeedijk ,Monument of Gebouw,<WikipediaPage 'Zeedijk (Amsterdam)'>,https://nl.wikipedia.org/wiki/Zeedijk_(Amsterdam),42813.0,0.0856606923722146,29933.0,0.0031895168435536,152,0.1006666666666666,5,0.4,Zeedijk,4.0,236.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d314939-Reviews-Zeedijk-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwiL3p21xr71AhXJiP0HHYPvBsYQFnoECAIQAg&usg=AOvVaw2URPnhRqQnnQ64DS2GtfXy,"(52.37406647, 4.90041667)"
Ziggo Dome,Monument of Gebouw,<WikipediaPage 'Ziggo Dome'>,https://nl.wikipedia.org/wiki/Ziggo_Dome,499552.0,1.0,323243.0,0.0344432229666523,208,0.138,11,1.0,Ziggo Dome,4.5,1171.0,https://www.tripadvisor.nl/Attraction_Review-g188590-d3724408-Reviews-Ziggo_Dome-Amsterdam_North_Holland_Province.html&sa=U&ved=2ahUKEwjmr822xr71AhUO8LsIHfZ_C9MQFnoECAcQAg&usg=AOvVaw3usW6BtrT1O3xvBvJTig0c,"(52.31334722, 4.93675278)"
