name,wiki_views
Berlage Lyceum,20744
Harmoniehof,7950
Zevenlandenhuizen,24545
Frankendael,35467
"Neptunus, Amphitrite en Arion",418
Goslerhuisje,4250
Algemene Nederlandse Diamantbewerkersbond,15076
Brug 382,2594
Atelierwoningen Zomerdijkstraat,10888
Groenhoven ,908
Droogbak ,19814
De 1200 Roe,7456
De Gooyer ,27787
Toegangshek Vondelpark ,1485
Hilton Amsterdam Hotel,73949
Aluminiumbrug,5019
Gemeenschapsmolen,3459
Koninklijk Instituut voor de Tropen,35150
Zonnehuis,16034
Lloyd-complex,8498
Toegangshek Vondelpark ,380
Kerk van Holysloot,4231
Onze-Lieve-Vrouw-van-Lourdeskerk ,4997
Gemeentetram Amsterdam,12108
De Ruijterkade,26835
Nederlandsche Dok en Scheepsbouw Maatschappij,48707
Eerste Openluchtschool voor het Gezonde Kind,23479
Westergasfabriek,101175
Toegangshek Vondelpark ,395
Haarlemmerpoort ,44331
Brug 283,2487
Vogelbuurt ,42889
Amsterdamse effectenbeurs,183317
Cornelis Schuytstraat,8620
Sint-Agneskerk ,16956
Museumbrug ,3883
De Bazel ,41518
Europaschool,5169
P.L. Kramerbrug,6489
Grafmonument van de familie Wiegman-Dobbelmann,3232
Aalsmeerder Veerhuis,7702
Amstel Hotel,89063
Johannes Vermeerstraat,4925
Korenmetershuisje ,11388
Nieuwer-Amstel,50119
Rijksmuseumtuinen,7569
Brug 604,2107
Diamantbeurs ,15476
Wijnkopersgildehuis,2128
Tuindorp Nieuwendam,23600
Vereeniging ten behoeve der Arbeidersklasse te Amsterdam,8856
Kindertjesbrug,1223
Waalse Kerk ,22886
Kraan 2868,848
Oostertoegang,3853
Binnengasthuis ,38856
Rijksakademie van beeldende kunsten,28419
De 1100 Roe,6550
Vondelpark 1,1890
Amsterdamsch Tehuis voor Arbeiders,3510
Oudemanhuispoort,35957
Lekstraatsynagoge,11048
Amsterdams Lyceum,33301
Munitiecomplex De 1800 Roeden,3808
Lucky Luyk,17930
Muiderpoort ,35188
Kohnstammhuis,17380
Huize Lydia,8802
